,UserId,SnackId,Prediction
257,A129LFK27JMYB3,B0000DGG1U,3.308995
254,A129LFK27JMYB3,B000084EZ4,3.2781277
255,A129LFK27JMYB3,B00008CQVA,3.2739298
262,A129LFK27JMYB3,B00014JYNO,3.2199855
264,A129LFK27JMYB3,B0001ES9FI,3.1574743
250,A129LFK27JMYB3,B00004RYGX,3.112519
246,A129LFK27JMYB3,B00004CI84,3.1112254
247,A129LFK27JMYB3,B00004CXX9,3.0732203
256,A129LFK27JMYB3,B00008JOL0,3.0624022
261,A129LFK27JMYB3,B00014IVPQ,2.9008846
268,A129LFK27JMYB3,B00020HHHC,2.7895014
267,A129LFK27JMYB3,B00020HHGS,2.7844696
260,A129LFK27JMYB3,B00014DXCC,2.7239568
270,A129LFK27JMYB3,B00020HHM2,2.7128475
266,A129LFK27JMYB3,B00020HHE0,2.709923
269,A129LFK27JMYB3,B00020HHK4,2.6875734
265,A129LFK27JMYB3,B00020HHAO,2.6802948
271,A129LFK27JMYB3,B00020HHRW,2.680113
259,A129LFK27JMYB3,B00012182G,2.614899
293,A12L1NY994GXSF,B0001ES9F8,3.9950447
288,A12L1NY994GXSF,B0000V8IOE,3.9788127
275,A12L1NY994GXSF,7310172101,3.8747137
278,A12L1NY994GXSF,B00004RAMY,3.7670302
281,A12L1NY994GXSF,B000084DWM,3.7464356
282,A12L1NY994GXSF,B000084E6V,3.723918
279,A12L1NY994GXSF,B00004RBDU,3.6191504
283,A12L1NY994GXSF,B000084ETV,3.507901
303,A12L1NY994GXSF,B00027CL5S,3.467869
287,A12L1NY994GXSF,B0000DGG1U,3.417245
292,A12L1NY994GXSF,B00014JYNO,3.2629633
294,A12L1NY994GXSF,B0001ES9FI,3.2607455
285,A12L1NY994GXSF,B00008CQVA,3.2556584
284,A12L1NY994GXSF,B000084EZ4,3.2499218
277,A12L1NY994GXSF,B00004CXX9,3.114452
276,A12L1NY994GXSF,B00004CI84,3.0527868
280,A12L1NY994GXSF,B00004RYGX,3.0518847
286,A12L1NY994GXSF,B00008JOL0,2.9089704
291,A12L1NY994GXSF,B00014IVPQ,2.8088558
298,A12L1NY994GXSF,B00020HHHC,2.7945204
297,A12L1NY994GXSF,B00020HHGS,2.7904718
290,A12L1NY994GXSF,B00014DXCC,2.7038324
300,A12L1NY994GXSF,B00020HHM2,2.6918094
296,A12L1NY994GXSF,B00020HHE0,2.687311
299,A12L1NY994GXSF,B00020HHK4,2.6653814
301,A12L1NY994GXSF,B00020HHRW,2.6565862
295,A12L1NY994GXSF,B00020HHAO,2.6559749
289,A12L1NY994GXSF,B00012182G,2.565916
323,A12MGOJOF9FY8P,B0001ES9F8,3.9614897
318,A12MGOJOF9FY8P,B0000V8IOE,3.93368
305,A12MGOJOF9FY8P,7310172101,3.8826075
312,A12MGOJOF9FY8P,B000084E6V,3.8328674
311,A12MGOJOF9FY8P,B000084DWM,3.7227964
308,A12MGOJOF9FY8P,B00004RAMY,3.6855347
309,A12MGOJOF9FY8P,B00004RBDU,3.52615
333,A12MGOJOF9FY8P,B00027CL5S,3.5057797
313,A12MGOJOF9FY8P,B000084ETV,3.4207478
317,A12MGOJOF9FY8P,B0000DGG1U,3.3602042
324,A12MGOJOF9FY8P,B0001ES9FI,3.3141487
322,A12MGOJOF9FY8P,B00014JYNO,3.197711
307,A12MGOJOF9FY8P,B00004CXX9,3.13364
315,A12MGOJOF9FY8P,B00008CQVA,3.1054146
314,A12MGOJOF9FY8P,B000084EZ4,3.100886
306,A12MGOJOF9FY8P,B00004CI84,3.028461
310,A12MGOJOF9FY8P,B00004RYGX,3.0199716
316,A12MGOJOF9FY8P,B00008JOL0,2.9282713
321,A12MGOJOF9FY8P,B00014IVPQ,2.9195993
327,A12MGOJOF9FY8P,B00020HHGS,2.838068
328,A12MGOJOF9FY8P,B00020HHHC,2.8376775
320,A12MGOJOF9FY8P,B00014DXCC,2.8007894
326,A12MGOJOF9FY8P,B00020HHE0,2.788157
330,A12MGOJOF9FY8P,B00020HHM2,2.787143
329,A12MGOJOF9FY8P,B00020HHK4,2.7648134
331,A12MGOJOF9FY8P,B00020HHRW,2.7581408
325,A12MGOJOF9FY8P,B00020HHAO,2.7569919
319,A12MGOJOF9FY8P,B00012182G,2.545844
351,A12OC9ZA779927,B00014IVPQ,3.3678524
352,A12OC9ZA779927,B00014JYNO,3.3217053
346,A12OC9ZA779927,B00008JOL0,3.287301
340,A12OC9ZA779927,B00004RYGX,3.2827208
349,A12OC9ZA779927,B00012182G,3.2697608
336,A12OC9ZA779927,B00004CI84,3.2590554
354,A12OC9ZA779927,B0001ES9FI,3.2587187
360,A12OC9ZA779927,B00020HHM2,3.1558986
356,A12OC9ZA779927,B00020HHE0,3.1519208
359,A12OC9ZA779927,B00020HHK4,3.1509159
350,A12OC9ZA779927,B00014DXCC,3.1485145
361,A12OC9ZA779927,B00020HHRW,3.1262426
355,A12OC9ZA779927,B00020HHAO,3.108718
345,A12OC9ZA779927,B00008CQVA,3.1085877
363,A12OC9ZA779927,B00027CL5S,3.1078887
347,A12OC9ZA779927,B0000DGG1U,3.0972643
344,A12OC9ZA779927,B000084EZ4,3.0560317
342,A12OC9ZA779927,B000084E6V,2.9590201
357,A12OC9ZA779927,B00020HHGS,2.936696
358,A12OC9ZA779927,B00020HHHC,2.9086428
343,A12OC9ZA779927,B000084ETV,2.8697863
339,A12OC9ZA779927,B00004RBDU,2.854177
353,A12OC9ZA779927,B0001ES9F8,2.8426297
338,A12OC9ZA779927,B00004RAMY,2.828094
337,A12OC9ZA779927,B00004CXX9,2.8171082
341,A12OC9ZA779927,B000084DWM,2.7621017
348,A12OC9ZA779927,B0000V8IOE,2.7371714
335,A12OC9ZA779927,7310172101,2.4504948
383,A13LAE0YTXA11B,B0001ES9F8,3.9660563
365,A13LAE0YTXA11B,7310172101,3.9173708
378,A13LAE0YTXA11B,B0000V8IOE,3.9101722
371,A13LAE0YTXA11B,B000084DWM,3.892852
372,A13LAE0YTXA11B,B000084E6V,3.772535
369,A13LAE0YTXA11B,B00004RBDU,3.632825
368,A13LAE0YTXA11B,B00004RAMY,3.5704353
373,A13LAE0YTXA11B,B000084ETV,3.4802897
393,A13LAE0YTXA11B,B00027CL5S,3.4544165
377,A13LAE0YTXA11B,B0000DGG1U,3.4045289
384,A13LAE0YTXA11B,B0001ES9FI,3.291794
382,A13LAE0YTXA11B,B00014JYNO,3.2311878
375,A13LAE0YTXA11B,B00008CQVA,3.2031617
374,A13LAE0YTXA11B,B000084EZ4,3.1958032
367,A13LAE0YTXA11B,B00004CXX9,3.1477258
370,A13LAE0YTXA11B,B00004RYGX,3.0780826
366,A13LAE0YTXA11B,B00004CI84,3.0762324
381,A13LAE0YTXA11B,B00014IVPQ,2.8366296
376,A13LAE0YTXA11B,B00008JOL0,2.7775888
388,A13LAE0YTXA11B,B00020HHHC,2.7762194
387,A13LAE0YTXA11B,B00020HHGS,2.7697334
380,A13LAE0YTXA11B,B00014DXCC,2.6647193
390,A13LAE0YTXA11B,B00020HHM2,2.6502867
386,A13LAE0YTXA11B,B00020HHE0,2.6472957
389,A13LAE0YTXA11B,B00020HHK4,2.6253066
385,A13LAE0YTXA11B,B00020HHAO,2.6131516
391,A13LAE0YTXA11B,B00020HHRW,2.6129441
379,A13LAE0YTXA11B,B00012182G,2.6107352
413,A13MS1JQG2ADOJ,B0001ES9F8,3.9767852
395,A13MS1JQG2ADOJ,7310172101,3.8855562
408,A13MS1JQG2ADOJ,B0000V8IOE,3.850905
401,A13MS1JQG2ADOJ,B000084DWM,3.8026295
402,A13MS1JQG2ADOJ,B000084E6V,3.6997838
398,A13MS1JQG2ADOJ,B00004RAMY,3.5930467
399,A13MS1JQG2ADOJ,B00004RBDU,3.5578566
403,A13MS1JQG2ADOJ,B000084ETV,3.4469721
423,A13MS1JQG2ADOJ,B00027CL5S,3.4222276
407,A13MS1JQG2ADOJ,B0000DGG1U,3.40637
414,A13MS1JQG2ADOJ,B0001ES9FI,3.2856987
412,A13MS1JQG2ADOJ,B00014JYNO,3.2045274
404,A13MS1JQG2ADOJ,B000084EZ4,3.2032647
405,A13MS1JQG2ADOJ,B00008CQVA,3.2013898
397,A13MS1JQG2ADOJ,B00004CXX9,3.1439993
396,A13MS1JQG2ADOJ,B00004CI84,3.0897446
400,A13MS1JQG2ADOJ,B00004RYGX,3.0855153
411,A13MS1JQG2ADOJ,B00014IVPQ,2.8286626
406,A13MS1JQG2ADOJ,B00008JOL0,2.8278584
418,A13MS1JQG2ADOJ,B00020HHHC,2.766158
417,A13MS1JQG2ADOJ,B00020HHGS,2.759812
410,A13MS1JQG2ADOJ,B00014DXCC,2.6537633
420,A13MS1JQG2ADOJ,B00020HHM2,2.6396232
416,A13MS1JQG2ADOJ,B00020HHE0,2.6373186
419,A13MS1JQG2ADOJ,B00020HHK4,2.6159673
421,A13MS1JQG2ADOJ,B00020HHRW,2.6026666
415,A13MS1JQG2ADOJ,B00020HHAO,2.601147
409,A13MS1JQG2ADOJ,B00012182G,2.5411186
443,A143HKSYU2FQP0,B0001ES9F8,3.546004
428,A143HKSYU2FQP0,B00004RAMY,3.5105667
438,A143HKSYU2FQP0,B0000V8IOE,3.4891086
453,A143HKSYU2FQP0,B00027CL5S,3.462394
432,A143HKSYU2FQP0,B000084E6V,3.4305665
444,A143HKSYU2FQP0,B0001ES9FI,3.3174274
431,A143HKSYU2FQP0,B000084DWM,3.299844
425,A143HKSYU2FQP0,7310172101,3.2825453
429,A143HKSYU2FQP0,B00004RBDU,3.281851
442,A143HKSYU2FQP0,B00014JYNO,3.225257
437,A143HKSYU2FQP0,B0000DGG1U,3.2106886
436,A143HKSYU2FQP0,B00008JOL0,3.1940453
435,A143HKSYU2FQP0,B00008CQVA,3.1698174
434,A143HKSYU2FQP0,B000084EZ4,3.1688867
441,A143HKSYU2FQP0,B00014IVPQ,3.1423662
433,A143HKSYU2FQP0,B000084ETV,3.1381488
430,A143HKSYU2FQP0,B00004RYGX,3.072661
426,A143HKSYU2FQP0,B00004CI84,3.0583382
427,A143HKSYU2FQP0,B00004CXX9,3.0339785
439,A143HKSYU2FQP0,B00012182G,2.9278326
440,A143HKSYU2FQP0,B00014DXCC,2.9267948
446,A143HKSYU2FQP0,B00020HHE0,2.9236634
450,A143HKSYU2FQP0,B00020HHM2,2.919174
449,A143HKSYU2FQP0,B00020HHK4,2.9107575
451,A143HKSYU2FQP0,B00020HHRW,2.8957906
447,A143HKSYU2FQP0,B00020HHGS,2.8868258
445,A143HKSYU2FQP0,B00020HHAO,2.8849978
448,A143HKSYU2FQP0,B00020HHHC,2.8804247
473,A14YBOI1XSJ0UP,B0001ES9F8,3.9323173
455,A14YBOI1XSJ0UP,7310172101,3.9151149
468,A14YBOI1XSJ0UP,B0000V8IOE,3.899576
461,A14YBOI1XSJ0UP,B000084DWM,3.84047
462,A14YBOI1XSJ0UP,B000084E6V,3.726603
459,A14YBOI1XSJ0UP,B00004RBDU,3.6298892
458,A14YBOI1XSJ0UP,B00004RAMY,3.535292
483,A14YBOI1XSJ0UP,B00027CL5S,3.514854
474,A14YBOI1XSJ0UP,B0001ES9FI,3.4214163
467,A14YBOI1XSJ0UP,B0000DGG1U,3.387701
463,A14YBOI1XSJ0UP,B000084ETV,3.2615995
464,A14YBOI1XSJ0UP,B000084EZ4,3.2128925
465,A14YBOI1XSJ0UP,B00008CQVA,3.2087352
457,A14YBOI1XSJ0UP,B00004CXX9,3.1942997
472,A14YBOI1XSJ0UP,B00014JYNO,3.1530776
456,A14YBOI1XSJ0UP,B00004CI84,3.010031
460,A14YBOI1XSJ0UP,B00004RYGX,2.9972658
466,A14YBOI1XSJ0UP,B00008JOL0,2.8257248
478,A14YBOI1XSJ0UP,B00020HHHC,2.7518804
477,A14YBOI1XSJ0UP,B00020HHGS,2.7382975
471,A14YBOI1XSJ0UP,B00014IVPQ,2.737055
470,A14YBOI1XSJ0UP,B00014DXCC,2.5651753
480,A14YBOI1XSJ0UP,B00020HHM2,2.5505564
476,A14YBOI1XSJ0UP,B00020HHE0,2.5503032
479,A14YBOI1XSJ0UP,B00020HHK4,2.5284443
481,A14YBOI1XSJ0UP,B00020HHRW,2.5144258
475,A14YBOI1XSJ0UP,B00020HHAO,2.512087
469,A14YBOI1XSJ0UP,B00012182G,2.485254
488,A153HSQ6QAFXDQ,B00004RAMY,3.5862932
501,A153HSQ6QAFXDQ,B00014IVPQ,3.5755837
492,A153HSQ6QAFXDQ,B000084E6V,3.5289237
502,A153HSQ6QAFXDQ,B00014JYNO,3.4242017
496,A153HSQ6QAFXDQ,B00008JOL0,3.4217591
497,A153HSQ6QAFXDQ,B0000DGG1U,3.374573
493,A153HSQ6QAFXDQ,B000084ETV,3.3461723
507,A153HSQ6QAFXDQ,B00020HHGS,3.3456054
508,A153HSQ6QAFXDQ,B00020HHHC,3.2718205
503,A153HSQ6QAFXDQ,B0001ES9F8,3.237982
513,A153HSQ6QAFXDQ,B00027CL5S,3.2266033
490,A153HSQ6QAFXDQ,B00004RYGX,3.2171032
498,A153HSQ6QAFXDQ,B0000V8IOE,3.1780076
486,A153HSQ6QAFXDQ,B00004CI84,3.1759932
504,A153HSQ6QAFXDQ,B0001ES9FI,3.1181793
495,A153HSQ6QAFXDQ,B00008CQVA,3.052283
494,A153HSQ6QAFXDQ,B000084EZ4,3.0143952
491,A153HSQ6QAFXDQ,B000084DWM,3.0093007
499,A153HSQ6QAFXDQ,B00012182G,2.9878325
489,A153HSQ6QAFXDQ,B00004RBDU,2.9847221
512,A153HSQ6QAFXDQ,B000255OIG,2.952896
484,A153HSQ6QAFXDQ,7310172001,2.9083703
487,A153HSQ6QAFXDQ,B00004CXX9,2.82763
485,A153HSQ6QAFXDQ,7310172101,2.7786055
531,A157XTSMJH9XA4,B00014IVPQ,4.0650163
522,A157XTSMJH9XA4,B000084E6V,3.7883441
518,A157XTSMJH9XA4,B00004RAMY,3.590649
533,A157XTSMJH9XA4,B0001ES9F8,3.509916
525,A157XTSMJH9XA4,B00008CQVA,3.5072558
524,A157XTSMJH9XA4,B000084EZ4,3.4618983
543,A157XTSMJH9XA4,B00027CL5S,3.4416063
517,A157XTSMJH9XA4,B00004CXX9,3.3764632
529,A157XTSMJH9XA4,B00012182G,3.354114
528,A157XTSMJH9XA4,B0000V8IOE,3.3510327
532,A157XTSMJH9XA4,B00014JYNO,3.2299867
527,A157XTSMJH9XA4,B0000DGG1U,3.212253
526,A157XTSMJH9XA4,B00008JOL0,3.2046187
534,A157XTSMJH9XA4,B0001ES9FI,3.131637
542,A157XTSMJH9XA4,B000255OIG,3.0832236
540,A157XTSMJH9XA4,B00020HHM2,3.0786166
536,A157XTSMJH9XA4,B00020HHE0,3.0660927
514,A157XTSMJH9XA4,7310172001,3.0506957
539,A157XTSMJH9XA4,B00020HHK4,3.0494645
530,A157XTSMJH9XA4,B00014DXCC,3.0465639
521,A157XTSMJH9XA4,B000084DWM,3.0419486
541,A157XTSMJH9XA4,B00020HHRW,3.0311155
535,A157XTSMJH9XA4,B00020HHAO,3.0084486
537,A157XTSMJH9XA4,B00020HHGS,2.973493
538,A157XTSMJH9XA4,B00020HHHC,2.9318132
515,A157XTSMJH9XA4,7310172101,2.9103234
